,count,keywords
0,124,Java
1,52,new
2,47,Basics
3,40,int
4,39,Button
5,38,code
6,31,Data
7,29,class
8,28,b
9,26,object
10,25,All
11,25,method
12,23,jGuru.com
13,23,1996-2003
14,23,Rights
15,23,Reserved
16,23,C++
17,22,applet
18,22,array
19,22,public
20,22,1
21,21,objects
22,19,*/
23,19,example
24,18,3
25,17,5
26,16,C/C++
27,16,/*
28,15,use
29,15,0
30,14,This
31,14,void
32,14,return
33,14,String
34,14,language
35,14,memory
36,14,For
37,13,T
38,13,types
39,12,data
40,12,C
41,12,comments
42,12,may
43,11,browser
44,11,null
45,11,...
46,10,2
47,10,program
48,10,would
49,10,runtime
50,10,following
51,10,methods
52,10,pointer
53,9,reference
54,9,called
55,9,==
56,9,make
57,9,a.data
58,9,primitive
59,9,A
60,9,system
61,9,operator
62,9,file
63,8,programs
64,8,two
65,8,string
66,8,applications
67,8,To
68,8,In
69,8,applets
70,8,4
71,8,collection
72,8,allocate
73,8,j
74,7,init
75,7,Applet
76,7,No
77,7,garbage
78,7,g
79,7,constant
80,7,OK
81,7,one
82,7,bits
83,7,b.data
84,7,byte
85,7,You
86,7,An
87,7,element
88,6,parameters
89,6,main
90,6,equivalent
91,6,type
92,6,args
93,6,literal
94,6,refer
95,6,arrays
96,6,e
97,6,pointers
98,6,heap
99,6,Stack
100,6,sizeof
101,5,elements
102,5,Note
103,5,portable
104,5,static
105,5,using
106,5,similar
107,5,executed
108,5,used
109,5,platform
110,5,passed
111,5,predefined
112,5,import
113,5,value
114,5,variables
115,5,source
116,5,calloc
117,5,threads
118,5,f
119,5,Primitive
120,5,--
121,5,boolean
122,4,p1
123,4,Garbage
124,4,tag
125,4,width
126,4,/**
127,4,NULL
128,4,animations
129,4,boolean-expr
130,4,strings
131,4,allocates
132,4,*b
133,4,compiler
134,4,start
135,4,34
136,4,definition
137,4,else
138,4,comment
139,4,C-style
140,4,foo
141,4,stop
142,4,Objects
143,4,Array
144,4,semantics
145,4,button
146,4,WWW
147,4,makes
148,4,Expressions
149,4,instance
150,4,copy
151,4,need
152,4,effect
153,4,System.out.println
154,4,ints
155,4,must
156,4,p2
157,4,test
158,4,write
159,4,stack
160,4,definitions
161,4,library
162,3,param
163,3,defined
164,3,length
165,3,Graphics
166,3,1000
167,3,Statements
168,3,consider
169,3,Variables
170,3,like
171,3,output
172,3,I
173,3,extends
174,3,function
175,3,resources
176,3,collector
177,3,statements
178,3,convert
179,3,operators
180,3,true
181,3,java.applet.Applet
182,3,programming
183,3,stat1
184,3,look
185,3,appletviewer
186,3,reside
187,3,final
188,3,either
189,3,style
190,3,Allocate
191,3,n't
192,3,These
193,3,define
194,3,paint
195,3,exception
196,3,defines
197,3,always
198,3,include
199,3,point
200,3,QUIT
201,3,within
202,3,drawn
203,3,easily
204,3,call
205,3,compilation
206,3,i++
207,3,e.g.
208,3,loop
209,3,Examples
210,3,blah
211,3,buttons
212,3,references
213,3,GUI
214,3,first
215,3,parameter
216,3,nothing
217,3,automatic
218,3,id
219,3,arithmetic
220,3,assigned
221,3,messages
222,3,TypeName
223,3,therefore
224,3,automatically
225,3,create
226,3,destroy
227,3,Description
228,3,default
229,3,contrast
230,3,shows
231,3,getParameter
232,2,d.data
233,2,TrivialApplet
234,2,addresses
235,2,declare
236,2,Assignment
237,2,Semantics
238,2,16
239,2,By
240,2,done
241,2,checking
242,2,host
243,2,optional
244,2,however
245,2,instanceof
246,2,hi
247,2,documentation
248,2,20
249,2,interpreted
250,2,stat
251,2,calls
252,2,Item
253,2,It
254,2,freed
255,2,break
256,2,dispose
257,2,contains
258,2,invoke
259,2,task
260,2,simply
261,2,addition
262,2,World
263,2,prints
264,2,machine
265,2,integer
266,2,Object
267,2,instantiated
268,2,available
269,2,suffix
270,2,Portability
271,2,space
272,2,particular
273,2,classes
274,2,suspend
275,2,structure
276,2,longer
277,2,variableName
278,2,secure
279,2,As
280,2,opening
281,2,Every
282,2,Buttons
283,2,section
284,2,code=AppletName.class
285,2,Applets
286,2,simple
287,2,state
288,2,etc
289,2,subclass
290,2,lifecycle
291,2,FALSE
292,2,*bfoo
293,2,contain
294,2,double
295,2,written
296,2,However
297,2,standard
298,2,TrivialApplication
299,2,set
300,2,document
301,2,labels
302,2,If
303,2,TRUE
304,2,hardware
305,2,variable
306,2,window
307,2,expr
308,2,Simple
309,2,32
310,2,time
311,2,int-const-expr
312,2,instantiates
313,2,Accessing
314,2,level
315,2,specify
316,2,invoked
317,2,switch
318,2,Vector
319,2,c
320,2,stat2
321,2,line
322,2,dereference
323,2,HTML
324,2,dynamically
325,2,way
326,2,float
327,2,clone
328,2,Types
329,2,**a
330,2,syntax
331,2,Employee
332,2,Comments
333,2,application
334,2,behavior
335,2,text
336,2,IEEE
337,2,char
338,2,added
339,2,10
340,2,points
341,2,/applet
342,2,version
343,2,Wide
344,2,Web
345,2,allocated
346,2,equal
347,2,There
348,2,containing
349,2,Integer
350,2,causes
351,2,ignored
352,2,form
353,2,Init
354,2,nameList
355,2,statement
356,2,access
357,2,equals
358,2,features
359,2,handling
360,2,yet
361,2,Declarations
362,2,illustrate
363,2,delimited
364,2,64
365,2,case
366,2,placed
367,2,bad
368,2,Hello
369,2,setTitle
370,2,Each
371,2,bounds
372,2,comparison
373,2,Execution
374,2,robust
375,2,Unlike
376,2,We
377,2,const
378,2,754-1985
379,2,leave
380,2,initialized
381,2,components
382,2,Program
383,2,Strings
384,2,I/O
385,2,creates
386,2,continue
387,2,unit
388,2,second
389,2,push
390,2,execution
391,2,How
392,1,Instead
393,1,immediately
394,1,single-line
395,1,When
396,1,item
397,1,observation
398,1,commentary
399,1,ten
400,1,link
401,1,C.
402,1,view
403,1,displays
404,1,implied
405,1,NullPointerException
406,1,Robustness
407,1,operating
408,1,3.14
409,1,Generic
410,1,-20
411,1,environments
412,1,F
413,1,body
414,1,much
415,1,undefined
416,1,-10
417,1,cause
418,1,perform
419,1,override
420,1,java
421,1,npackage.class
422,1,forget
423,1,s-
424,1,signature
425,1,think
426,1,codebase
427,1,nested
428,1,*s
429,1,300
430,1,.method
431,1,-16
432,1,-3
433,1,giant
434,1,+=
435,1,Your
436,1,translates
437,1,tells
438,1,2.7e6D
439,1,ParamTest
440,1,mandatory
441,1,bind
442,1,looks
443,1,Blah
444,1,/=
445,1,virtually
446,1,Constants
447,1,priority
448,1,follows
449,1,machineindependent
450,1,byte-code
451,1,painting
452,1,formats
453,1,short
454,1,leaves
455,1,exceptions
456,1,referring
457,1,Unicode
458,1,StartingClassName.main
459,1,arguments
460,1,converted
461,1,-1
462,1,linking
463,1,lowest
464,1,size
465,1,reduces
466,1,related
467,1,issue
468,1,searches
469,1,results
470,1,dynamic
471,1,name=n
472,1,leaks
473,1,-17
474,1,versions
475,1,jumping
476,1,'d
477,1,DLLs
478,1,fill
479,1,abc
480,1,created
481,1,normal
482,1,note
483,1,compared
484,1,Internet
485,1,publicly
486,1,members
487,1,current
488,1,do-while
489,1,lowercase
490,1,corner
491,1,page
492,1,requires
493,1,multiple
494,1,img
495,1,conversions
496,1,serve
497,1,viruses
498,1,symbol
499,1,class.method
500,1,concatenated
501,1,alt
502,1,returns
503,1,trivial
504,1,*t
505,1,needed
506,1,value=34
507,1,name=p1
508,1,Owner
509,1,Anything
510,1,-7
511,1,But
512,1,stats
513,1,problems
514,1,valid
515,1,obtained
516,1,contained
517,1,Structure
518,1,representation
519,1,CLASSPATH
520,1,table
521,1,++
522,1,means
523,1,present
524,1,execute
525,1,happens
526,1,errors
527,1,-13
528,1,removes
529,1,B
530,1,guaranteed
531,1,keyword
532,1,UNICODE
533,1,n-1
534,1,III
535,1,market
536,1,implementor
537,1,a.clone
538,1,"20,20"
539,1,shallow
540,1,flavors
541,1,height=200
542,1,So
543,1,intentionally
544,1,block
545,1,distributed
546,1,literals
547,1,^=
548,1,Id
549,1,String.valueOf
550,1,life
551,1,complexity
552,1,Such
553,1,null-terminated
554,1,runs
555,1,loadable
556,1,deiconify
557,1,hexadecimal
558,1,draw
559,1,number
560,1,context
561,1,int-expr
562,1,true/false
563,1,generate
564,1,tedious
565,1,Bitmaps
566,1,Creates
567,1,via
568,1,major
569,1,specified
570,1,instead
571,1,together
572,1,handle
573,1,i.e.
574,1,including
575,1,superclass
576,1,height
577,1,deallocates
578,1,nonportable
579,1,*=
580,1,width=w
581,1,difference
582,1,reserve
583,1,leading
584,1,Pointers
585,1,five-element
586,1,argument
587,1,machines
588,1,concatenate
589,1,Interface
590,1,width=300
591,1,restrictions
592,1,becomes
593,1,depot/main/src/edu/modules/JavaBasics/javaBasics.mml
594,1,crashes
595,1,find
596,1,handled
597,1,8
598,1,revisited
599,1,HTML/Applet
600,1,compile
601,1,Java-compatible
602,1,Statement
603,1,effects
604,1,efficiency
605,1,077
606,1,old
607,1,notices
608,1,Part
609,1,super.clone
610,1,effort
611,1,v
612,1,uses
613,1,StringBuffer
614,1,Mac
615,1,ignore
616,1,.length
617,1,-18
618,1,IV
619,1,back
620,1,operations
621,1,menu
622,1,begin
623,1,figure
624,1,What
625,1,expressions
626,1,Terence
627,1,signed
628,1,directories
629,1,linked
630,1,variable-length
631,1,value=v
632,1,left
633,1,-2
634,1,i=0
635,1,false
636,1,name=p2
637,1,plus
638,1,across
639,1,label
640,1,preceded
641,1,Memory
642,1,local
643,1,referred
644,1,something
645,1,designed
646,1,\u00ae
647,1,index
648,1,removed
649,1,TrivialApplication.class
650,1,necessary
651,1,content
652,1,'re
653,1,0x123
654,1,specific
655,1,*a
656,1,stale
657,1,leads
658,1,latest
659,1,bar
660,1,optionally
661,1,Parameters
662,1,leaked
663,1,combination
664,1,interesting
665,1,leakage
666,1,Therefore
667,1,creation
668,1,archives
669,1,libraries
670,1,octal
671,1,surrounding
672,1,instantiate
673,1,-11
674,1,II
675,1,Constant
676,1,Final
677,1,also
678,1,performs
679,1,place
680,1,run
681,1,Storing
682,1,3.14f
683,1,||
684,1,-19
685,1,Three
686,1,portions
687,1,Applet.getParameter
688,1,Aplications
689,1,try
690,1,height=h
691,1,machine-independent
692,1,Values
693,1,-4
694,1,redrawn
695,1,D
696,1,terminates
697,1,-9
698,1,Return
699,1,Type
700,1,considered
701,1,end
702,1,inaccessible
703,1,basic
704,1,Version
705,1,-=
706,1,java.awt.Graphics
707,1,ill
708,1,Sockets
709,1,right-shift
710,1,Interpreter
711,1,Classes
712,1,places
713,1,accompanying
714,1,Jim
715,1,value=
716,1,still
717,1,1.1
718,1,useful
719,1,unnecessarily
720,1,loader
721,1,allow
722,1,details
723,1,come
724,1,brackets
725,1,align
726,1,Create
727,1,s.push
728,1,thread
729,1,Common
730,1,blank
731,1,pre-existing
732,1,area
733,1,separate
734,1,files
735,1,disks
736,1,Navigator
737,1,illegal
738,1,Cloneable
739,1,1+1=2
740,1,provided
741,1,outside
742,1,convention
743,1,potential
744,1,structs
745,1,-8
746,1,say
747,1,Two
748,1,Byte
749,1,zero-extend
750,1,making
751,1,things
752,1,sections
753,1,data-type
754,1,iconify
755,1,super
756,1,phase
757,1,computer
758,1,constructor-args
759,1,Operators
760,1,Double
761,1,Interfaces
762,1,listed
763,1,long
764,1,Initializers
765,1,thereby
766,1,processed
767,1,non-public
768,1,Method
769,1,ack
770,1,hard
771,1,scrollbars
772,1,error-prone
773,1,MML
774,1,It's
775,1,Security
776,1,sockets
777,1,-15
778,1,needs
779,1,internally
780,1,consequence
781,1,Language
782,1,user-defined
783,1,java.awt
784,1,demand
785,1,treated
786,1,javadoc
787,1,General
788,1,creating
789,1,sizes
790,1,efficient
791,1,vspace
792,1,super.dispose
793,1,A.java
794,1,1+1=
795,1,package.obj
796,1,scoped
797,1,apply
798,1,rewrite
799,1,'a
800,1,2.7e6F
801,1,invalid
802,1,limited
803,1,declaration
804,1,named
805,1,0.995a
806,1,menus
807,1,pretend
808,1,whenever
809,1,lines
810,1,values
811,1,allowed
812,1,Applications
813,1,initialize
814,1,another
815,1,deallocated
816,1,-5
817,1,modified
818,1,remains
819,1,fragments
820,1,p
821,1,obj.method
822,1,Browser
823,1,broad
824,1,-21
825,1,already-existing
826,1,implements
827,1,constants
828,1,Netscape
829,1,*7
830,1,AppletTemplate
831,1,specifically
832,1,Put
833,1,character
834,1,often
835,1,difficult
836,1,port
837,1,AWT
838,1,a.equals
839,1,discussed
840,1,g.drawString
841,1,calloc/malloc
842,1,A.class
843,1,directly
844,1,lack
845,1,sequence
846,1,free
847,1,corrupt/steal
848,1,constructor
849,1,struct
850,1,assignments
851,1,many
852,1,drawing
853,1,deallocating
854,1,applies
855,1,attempting
856,1,-14
857,1,Instance
858,1,Arrays
859,1,deep
860,1,Window-manager
861,1,Consider
862,1,onetwo
863,1,software
864,1,Integer.parseInt
865,1,differently
866,1,Application
867,1,"0,0"
868,1,takes
869,1,square
870,1,every
871,1,burden
872,1,obj.member
873,1,advantage
874,1,-6
875,1,bfoo
876,1,calling
877,1,several
878,1,display
879,1,diagram
880,1,systems
881,1,Most
882,1,know
883,1,initial
884,1,upper-left
885,1,package
886,1,real
887,1,next
888,1,address
889,1,relieving
890,1,inflexible
891,1,Multi-dimensional
892,1,3+4
893,1,PC
894,1,respond
895,1,Arguments
896,1,Integer.MAX_VALUE
897,1,clean-up
898,1,integrate
899,1,ArrayIndexOutOfBoundsException
900,1,Equality
901,1,proper
902,1,Frame
903,1,running
904,1,incorrect
905,1,qualified-id
906,1,list
907,1,bring
908,1,highest
909,1,closing
910,1,32-bit
911,1,pointed
912,1,|=
913,1,translated
914,1,-22
915,1,harm
916,1,order
917,1,Forms
918,1,Standalone
919,1,visible
920,1,differences
921,1,Float
922,1,version=1
923,1,part
924,1,Topics
925,1,commenting
926,1,-12
927,1,completely
928,1,avoid
929,1,well
930,1,environment
931,1,-23
932,1,Sends
933,1,complete
934,1,C++-style
935,1,stored
936,1,precedence
937,1,stat3
938,1,command
939,1,toString
940,1,native
941,1,hspace
942,1,allocation
943,1,Collection
944,1,freeing
945,1,group
946,1,quitting
947,1,keywords
948,1,purely
949,1,'\t
950,1,appropriate
951,1,defense
952,1,T.
